,lat,lng,offense
437,45.5601,-122.682,Larceny Offenses
438,45.5318,-122.652,Larceny Offenses
439,45.5238,-122.673,Larceny Offenses
440,45.4818,-122.556,Larceny Offenses
443,45.5286,-122.674,Larceny Offenses
444,45.5237,-122.657,Larceny Offenses
445,45.5673,-122.539,Motor Vehicle Theft
448,45.5844,-122.703,Larceny Offenses
449,45.5065,-122.514,Assault Offenses
451,45.512,-122.497,Larceny Offenses
453,45.5143,-122.694,Larceny Offenses
454,45.4939,-122.583,Burglary
455,45.5702,-122.674,Larceny Offenses
456,45.5136,-122.664,Larceny Offenses
458,45.5059,-122.628,Burglary
461,45.4979,-122.652,Larceny Offenses
463,45.5264,-122.572,Larceny Offenses
464,45.5103,-122.625,Larceny Offenses
465,45.5208,-122.577,Larceny Offenses
466,45.4809,-122.599,Larceny Offenses
467,45.4874,-122.637,Larceny Offenses
470,45.4861,-122.696,Burglary
471,45.4945,-122.706,Burglary
476,45.5186,-122.675,Larceny Offenses
477,45.5222,-122.679,Larceny Offenses
478,45.498,-122.686,Larceny Offenses
479,45.5236,-122.65,Larceny Offenses
480,45.5162,-122.542,Larceny Offenses
481,45.5236,-122.606,Larceny Offenses
482,45.5015,-122.532,Larceny Offenses
483,45.5559,-122.644,Larceny Offenses
484,45.5096,-122.736,Larceny Offenses
485,45.5828,-122.736,Larceny Offenses
486,45.5035,-122.638,Motor Vehicle Theft
487,45.5364,-122.576,Motor Vehicle Theft
488,45.5416,-122.576,Motor Vehicle Theft
489,45.4796,-122.586,Motor Vehicle Theft
490,45.5553,-122.682,Motor Vehicle Theft
491,45.4849,-122.549,Motor Vehicle Theft
492,45.5559,-122.644,Motor Vehicle Theft
493,45.5777,-122.721,Motor Vehicle Theft
494,45.5209,-122.526,Robbery
495,45.5695,-122.682,Assault Offenses
496,45.5043,-122.511,Assault Offenses
497,45.4856,-122.485,Assault Offenses
498,45.4987,-122.644,Assault Offenses
499,45.5125,-122.504,Assault Offenses
